openness,conscientiousness,extraversion,agreeableness,neuroticism,behavior_type,count
5.074074074074074,5.148148148148148,4.592592592592593,5.518518518518518,3.740740740740741,稳定不信者,27
3.6666666666666665,5.0,4.0,4.0,4.666666666666667,稳定相信者,3
5.3,5.25,4.85,5.05,3.4,易感染者,20
5.0,5.0,4.657894736842105,4.921052631578948,4.184210526315789,迟感染者,38
4.827586206896552,4.586206896551724,4.344827586206897,4.551724137931035,4.068965517241379,快恢复者,29
5.2592592592592595,5.481481481481482,4.666666666666667,5.444444444444445,3.6296296296296298,迟恢复者,27
