Time_Step,LLM_S,LLM_I,LLM_R,SIR_S,SIR_I,SIR_R
0,0.8,0.2,0.0,0.7999999999999999,0.19999999999999998,0.0
1,0.78,0.15,0.07,0.35,0.6090000000000001,0.040999999999999995
2,0.77,0.14,0.09,0.036000000000000004,0.8,0.16399999999999998
3,0.74,0.16,0.1,0.001,0.6819999999999999,0.31699999999999995
4,0.72,0.16,0.12,0.001,0.5349999999999999,0.4640000000000001
5,0.74,0.12,0.14,0.0,0.42800000000000005,0.5720000000000001
6,0.75,0.1,0.15,0.0,0.332,0.6679999999999999
7,0.75,0.09,0.16,0.0,0.261,0.7390000000000001
8,0.76,0.07,0.17,0.0,0.20299999999999999,0.797
9,0.75,0.09,0.16,0.0,0.16899999999999998,0.8310000000000001
10,0.76,0.06,0.18,0.0,0.134,0.866
11,0.76,0.05,0.19,0.0,0.11000000000000001,0.89
12,0.75,0.06,0.19,0.0,0.07899999999999999,0.921
13,0.73,0.08,0.19,0.0,0.065,0.9350000000000002
14,0.7,0.12,0.18,0.0,0.046,0.9540000000000001
15,0.73,0.09,0.18,0.0,0.037000000000000005,0.9630000000000001
