Time_Step,LLM_S,LLM_I,LLM_R,SIR_S,SIR_I,SIR_R
0,0.6,0.4,0.0,0.5999999999999999,0.39999999999999997,0.0
1,0.57,0.38,0.05,0.198,0.757,0.045
2,0.52,0.39,0.09,0.03,0.8389999999999999,0.13100000000000003
3,0.52,0.36,0.12,0.007000000000000001,0.784,0.209
4,0.51,0.3,0.19,0.002,0.7009999999999998,0.29700000000000004
5,0.48,0.34,0.18,0.001,0.621,0.378
6,0.49,0.33,0.18,0.001,0.5429999999999999,0.45599999999999996
7,0.42,0.35,0.23,0.0,0.4800000000000001,0.5200000000000001
8,0.43,0.28,0.29,0.0,0.42400000000000004,0.576
9,0.38,0.32,0.3,0.0,0.366,0.634
10,0.42,0.27,0.31,0.0,0.32399999999999995,0.6759999999999999
11,0.43,0.28,0.29,0.0,0.285,0.715
12,0.43,0.27,0.3,0.0,0.253,0.747
13,0.42,0.28,0.3,0.0,0.23399999999999999,0.766
14,0.39,0.29,0.32,0.0,0.20799999999999996,0.7919999999999999
15,0.42,0.25,0.33,0.0,0.192,0.808
