Metric,LLM_Value,SIR_Value,Difference
峰值感染者比例,0.4,0.8389999999999999,-0.43899999999999983
峰值时间,0.0,2.0,-2.0
最终感染者比例,0.25,0.192,0.057999999999999996
最终恢复者比例,0.33,0.808,-0.47800000000000004
MSE_S,,,0.18281743749999999
MSE_I,,,0.053988937499999994
MSE_R,,,0.09979512500000001
